ItemID,Category,InventoryTurnover,StockOutRate,DemandForecastAccuracy
ITEM5139,Category_7,3.84,0.0797,0.94
ITEM5140,Category_1,9.53,0.0522,0.82
ITEM5141,Category_9,7.22,0.0755,0.85
ITEM5142,Category_1,8.68,0.0778,0.72
ITEM5143,Category_1,7.32,0.0571,0.84
ITEM5144,Category_8,7.06,0.0794,0.94
ITEM5145,Category_10,3.81,0.067,0.87
ITEM5146,Category_9,10.4,0.0792,0.76
ITEM5147,Category_10,3.84,0.0751,0.89
ITEM5148,Category_1,2.85,0.0037,0.96
ITEM5149,Category_7,9.36,0.0965,0.89
ITEM5150,Category_10,2.27,0.0491,0.93
ITEM5151,Category_8,3.67,0.0663,0.94
ITEM5152,Category_9,4.18,0.0968,0.94
ITEM5153,Category_4,2.97,0.0625,0.75
ITEM5154,Category_4,8.62,0.0759,0.73
ITEM5155,Category_2,11.54,0.0128,0.85
ITEM5156,Category_4,4.51,0.0832,0.74
ITEM5157,Category_6,11.31,0.0944,0.92
ITEM5158,Category_10,2.01,0.028,0.86
ITEM5159,Category_7,4.54,0.0012,0.86
ITEM5160,Category_3,2.66,0.0989,0.78
ITEM5161,Category_4,7.19,0.0532,0.77
ITEM5162,Category_7,3.62,0.0712,0.81
ITEM5163,Category_3,5.49,0.0058,0.71
ITEM5164,Category_3,7.7,0.0598,0.77
ITEM5165,Category_9,3.96,0.0378,0.97
ITEM5166,Category_7,7.09,0.0641,0.7
ITEM5167,Category_10,3.91,0.0206,0.81
ITEM5168,Category_10,1.18,0.0749,0.78
ITEM5169,Category_8,1.25,0.0376,0.93
ITEM5170,Category_10,1.74,0.0439,0.75
ITEM5171,Category_6,1.32,0.0006,0.71
ITEM5172,Category_6,3.98,0.0049,1.0
ITEM5173,Category_2,11.81,0.0386,0.71
ITEM5174,Category_9,1.82,0.0873,0.8
ITEM5175,Category_1,10.97,0.063,0.81
ITEM5176,Category_9,5.92,0.032,0.79
ITEM5177,Category_6,2.34,0.0395,0.81
ITEM5178,Category_9,10.26,0.094,0.93
ITEM5179,Category_7,1.87,0.0556,0.93
ITEM5180,Category_8,7.02,0.0472,0.91
ITEM5181,Category_7,5.35,0.0468,0.97
ITEM5182,Category_1,7.17,0.0592,0.92
ITEM5183,Category_10,8.8,0.0762,0.9
ITEM5184,Category_9,11.93,0.0461,0.92
ITEM5185,Category_1,8.92,0.0749,0.83
ITEM5186,Category_3,11.99,0.0792,0.92
ITEM5187,Category_1,7.56,0.0362,0.84
ITEM5188,Category_10,6.27,0.0267,0.82
ITEM5189,Category_1,2.02,0.0801,0.85
ITEM5190,Category_9,9.5,0.0274,0.71
ITEM5191,Category_8,10.51,0.0829,0.84
ITEM5192,Category_2,11.99,0.0546,0.98
ITEM5193,Category_2,10.09,0.0216,0.96
ITEM5194,Category_3,3.26,0.0818,0.89
ITEM5195,Category_8,11.72,0.0026,0.99
ITEM5196,Category_7,11.24,0.0267,0.73
ITEM5197,Category_4,2.45,0.0534,0.78
ITEM5198,Category_3,1.15,0.0384,0.77
ITEM5199,Category_7,1.41,0.0155,0.84
