ContractID,SupplierID,ContractStart,ContractEnd,ContractValue,Renewed,ContractCycleTimeDays
CON3049,SUP1033,2025-03-21,2027-03-21,897175.32,True,49
CON3050,SUP1015,2025-06-04,2025-12-01,314093.22,True,10
CON3051,SUP1039,2025-01-07,2026-01-07,146391.46,True,28
CON3052,SUP1041,2025-04-29,2027-04-29,545069.25,False,36
CON3053,SUP1034,2025-06-19,2026-06-19,935008.54,False,25
CON3054,SUP1024,2024-12-02,2026-12-02,163640.02,False,41
CON3055,SUP1047,2025-07-06,2027-07-06,130616.71,True,47
CON3056,SUP1023,2024-12-30,2025-06-28,950097.38,True,38
CON3057,SUP1030,2025-05-01,2026-05-01,941024.21,True,38
CON3058,SUP1009,2025-06-13,2026-06-13,706002.44,False,12
CON3059,SUP1013,2025-06-27,2025-12-24,540051.78,False,58
CON3060,SUP1001,2024-10-09,2025-10-09,601656.1,True,10
CON3061,SUP1031,2025-03-16,2025-09-12,475190.77,True,14
CON3062,SUP1016,2025-04-30,2026-04-30,508260.72,True,37
CON3063,SUP1022,2024-08-30,2026-08-30,595394.82,True,23
CON3064,SUP1012,2024-09-03,2025-03-02,398411.44,True,20
CON3065,SUP1032,2025-02-08,2025-08-07,789471.08,True,39
CON3066,SUP1003,2024-08-21,2025-02-17,676089.27,False,54
CON3067,SUP1026,2024-10-14,2025-10-14,74413.49,False,11
CON3068,SUP1048,2025-07-06,2026-07-06,641911.8,True,14
CON3069,SUP1040,2025-04-11,2026-04-11,966517.22,True,27
CON3070,SUP1012,2025-06-13,2026-06-13,381916.92,False,38
CON3071,SUP1009,2024-12-25,2026-12-25,964590.45,True,42
CON3072,SUP1029,2025-02-04,2026-02-04,352988.08,True,26
CON3073,SUP1004,2024-12-12,2026-12-12,702591.68,True,15
CON3074,SUP1040,2024-11-23,2025-11-23,533966.82,False,19
CON3075,SUP1000,2025-06-25,2027-06-25,185178.39,False,53
CON3076,SUP1001,2024-12-06,2025-12-06,572993.18,True,35
CON3077,SUP1027,2025-03-17,2027-03-17,685947.21,False,27
CON3078,SUP1040,2024-12-08,2025-06-06,588393.3,True,25
CON3079,SUP1032,2025-02-04,2026-02-04,152376.6,True,41
CON3080,SUP1009,2025-03-15,2026-03-15,241143.76,False,40
CON3081,SUP1017,2024-12-23,2025-06-21,185130.21,True,11
CON3082,SUP1029,2024-11-19,2026-11-19,350610.59,True,34
CON3083,SUP1042,2024-10-01,2025-10-01,590834.46,True,50
CON3084,SUP1012,2024-08-03,2025-08-03,802342.66,False,13
CON3085,SUP1016,2024-07-09,2026-07-09,323926.39,False,18
CON3086,SUP1049,2024-11-08,2025-05-07,898258.61,True,12
CON3087,SUP1012,2024-10-09,2025-10-09,391295.06,True,27
CON3088,SUP1024,2025-06-02,2025-11-29,320775.77,True,45
CON3089,SUP1002,2025-06-01,2025-11-28,737486.89,True,18
CON3090,SUP1026,2025-01-07,2027-01-07,92562.39,True,40
CON3091,SUP1028,2025-03-31,2025-09-27,883492.71,True,46
CON3092,SUP1001,2024-11-06,2025-05-05,856461.84,True,39
CON3093,SUP1003,2025-04-04,2027-04-04,67099.51,True,51
CON3094,SUP1015,2024-12-22,2025-06-20,666013.39,True,59
CON3095,SUP1045,2025-01-23,2027-01-23,289804.39,False,10
CON3096,SUP1031,2024-12-28,2025-06-26,556088.62,True,22
CON3097,SUP1029,2025-06-09,2027-06-09,900264.13,True,37
CON3098,SUP1028,2024-08-19,2025-02-15,398525.14,True,47
CON3099,SUP1011,2025-01-03,2026-01-03,116353.74,True,12
